東証業種別指数、各国指数、前月比騰落率,
TOPIX,0.1044
食品,0.1082
エネルギー資源,0.0909
建設･資材,0.1419
素材･化学,0.1268
医薬品,0.1154
自動車･輸送機,0.0724
鉄鋼･非鉄,0.3194
機械,0.1455
電気･精密,0.0699
情報･サービス他,-0.0358
電力･ガス,0.1234
運輸･物流,0.0665
商社･卸売,0.1503
小売,0.0749
銀行,0.0642
金融（銀行除く）,0.1067
不動産,0.1997
日経平均,0.1037
TOPIX,0.1044
東証グロース市場,0.0978
Topix Large 70,0.1282
Topix Mid 400,0.1244
Topix Small,0.1235
TOPIXグロース,0.0884
TOPIXバリュー,0.1189
日経内需株50,0.1259
日経外需株50,0.112
NYダウ,0.0017
S&P500,-0.0087
ナスダック,-0.0338
ラッセル2000,0.0071
英国FTSE100,0.0672
仏CAC40,0.0559
ドイツDAX,0.0304
イタリア40,0.037
ユーロストックス50,0.032
モスクワRTSI ,-0.0142
イスタンブール100 ,-0.0087
インドSENSEX30,-0.0119
タイSET,0.1529
深セン,0.0204
香港ハンセン,-0.0276
上海総合,0.0109
韓国総合株価指数,0.1952
WTI原油,0.0278
金,0.1058
ドル円,0.0083
工業用金蔵,0.0047
日経半導体株指数,0.0942
食品,0.1082
エネルギー資源,0.0909
建設/資材,0.1419
素材/化学,0.1268
医薬品,0.1154
自動車/輸送機,0.0724
鉄鋼/非鉄,0.3194
機械,0.1455
電機/精密,0.0699
情報通信/サービス他,-0.0358
電力/ガス,0.1234
運輸/物流,0.0665
商社/卸売,0.1503
小売,0.0749
銀行,0.0642
金融（除く銀行）,0.1067
不動産,0.1997
東証REIT,0.0106
US-REIT,0.0746
S&P500,-0.0087
SP生活必需品,0.0787
SPエネルギー,0.0877
SP金融,-0.0383
SPヘルスケア,0.0342
SP資本財,0.0697
SPIT,-0.0398
SP素材,0.0827
SP不動産,0.0804
SP電気通信,-0.0514
SP公益,0.0987
SP一般消費財･ｻｰﾋﾞｽ,-0.0542
SOX,0.0125
ARK Innovation,-0.0262
M7時価総額,-0.0659
